,Name,Ticker,시장구분
1,삼성전자,005930,KOSPI
2,SK하이닉스,000660,KOSPI
3,LG에너지솔루션,373220,KOSPI
4,삼성바이오로직스,207940,KOSPI
5,한화에어로스페이스,012450,KOSPI
6,삼성전자우,005935,KOSPI
7,현대차,005380,KOSPI
8,HD현대중공업,329180,KOSPI
9,KB금융,105560,KOSPI
10,기아,000270,KOSPI
11,셀트리온,068270,KOSPI
12,두산에너빌리티,034020,KOSPI
13,한화오션,042660,KOSPI
14,NAVER,035420,KOSPI
15,신한지주,055550,KOSPI
16,삼성물산,028260,KOSPI
17,현대모비스,012330,KOSPI
18,카카오,035720,KOSPI
19,HD한국조선해양,009540,KOSPI
20,삼성생명,032830,KOSPI
21,HMM,011200,KOSPI
22,POSCO홀딩스,005490,KOSPI
23,하나금융지주,086790,KOSPI
24,한국전력,015760,KOSPI
25,알테오젠,196170,KOSDAQ GLOBAL
26,현대로템,064350,KOSPI
27,LG화학,051910,KOSPI
28,메리츠금융지주,138040,KOSPI
29,삼성화재,000810,KOSPI
30,SK스퀘어,402340,KOSPI
31,우리금융지주,316140,KOSPI
32,HD현대일렉트릭,267260,KOSPI
33,삼성중공업,010140,KOSPI
34,KT&G,033780,KOSPI
35,SK이노베이션,096770,KOSPI
36,삼성SDI,006400,KOSPI
37,고려아연,010130,KOSPI
38,크래프톤,259960,KOSPI
39,기업은행,024110,KOSPI
40,SK,034730,KOSPI
41,KT,030200,KOSPI
42,LIG넥스원,079550,KOSPI
43,카카오뱅크,323410,KOSPI
44,LG전자,066570,KOSPI
45,SK텔레콤,017670,KOSPI
46,LG,003550,KOSPI
47,삼성에스디에스,018260,KOSPI
48,한화시스템,272210,KOSPI
49,현대글로비스,086280,KOSPI
50,효성중공업,298040,KOSPI
